split_point,head_time,tail_time,total_time,head_energy,tail_energy,head_power,tail_power,data_size,success,errors,avg_head_time,avg_tail_time,avg_total_time,avg_head_energy,avg_tail_energy,avg_head_power,avg_tail_power,avg_data_size
1,"[0.13884449005126953, 0.14589691162109375, 0.14618873596191406, 0.11901211738586426, 0.1456592082977295]","[0.41811227798461914, 0.1228940486907959, 0.10974001884460449, 0.10358190536499023, 0.13054895401000977]","[0.5569567680358887, 0.26879096031188965, 0.25592875480651855, 0.2225940227508545, 0.27620816230773926]","[0.3442, 0.3292, 0.3553, 0.4088, 0.3664]","[14.3693, 8.4738, 8.4298, 8.4759, 8.5803]","[24.07, 25.09, 23.25, 25.15, 24.56]","[45.22, 124.44, 124.54, 124.62, 124.38]","[3212444, 3212444, 3212444, 3212444, 3212444]",5,[],0.13912029266357423,0.17697544097900392,0.31609573364257815,0.36078,9.66582,24.424,108.64,3212444
2,"[0.1530306339263916, 0.13530635833740234, 0.13199472427368164, 0.14270734786987305, 0.12617874145507812]","[0.11261844635009766, 0.10866570472717285, 0.11213231086730957, 0.12064027786254883, 0.11307978630065918]","[0.26564908027648926, 0.2439720630645752, 0.2441270351409912, 0.2633476257324219, 0.2392585277557373]","[0.5492, 0.4688, 0.4496, 0.4537, 0.5214]","[8.4369, 8.3768, 8.4638, 8.4722, 8.4513]","[24.21, 23.4, 24.09, 25.88, 25.06]","[124.79, 124.84, 125.06, 125.05, 125.17]","[3212444, 3212444, 3212444, 3212444, 3212444]",5,[],0.13784356117248536,0.11342730522155761,0.25127086639404295,0.48854,8.4402,24.528,124.982,3212444
3,"[0.1532893180847168, 0.14855289459228516, 0.13998627662658691, 0.14124393463134766, 0.13751554489135742]","[0.10527467727661133, 0.09589362144470215, 0.10192537307739258, 0.10021424293518066, 0.10280656814575195]","[0.2585639953613281, 0.2444465160369873, 0.2419116497039795, 0.24145817756652832, 0.24032211303710938]","[0.5466, 0.6081, 0.676, 0.6682, 0.5553]","[7.4358, 7.4991, 7.8337, 7.6575, 7.6745]","[23.56, 25.48, 25.68, 24.65, 24.82]","[125.35, 125.23, 125.29, 125.32, 125.43]","[3212444, 3212444, 3212444, 3212444, 3212444]",5,[],0.1441175937652588,0.10122289657592773,0.24534049034118652,0.61084,7.62012,24.838,125.324,3212444
4,"[0.10131692886352539, 0.10168623924255371, 0.09349822998046875, 0.1162102222442627, 0.1192789077758789]","[0.08601021766662598, 0.08661580085754395, 0.07625389099121094, 0.07401776313781738, 0.07326889038085938]","[0.18732714653015137, 0.18830204010009766, 0.1697521209716797, 0.19022798538208008, 0.19254779815673828]","[0.7397, 0.8315, 0.8406, 0.8563, 1.0385]","[6.515, 6.4502, 6.4765, 6.4816, 6.5363]","[23.99, 25.71, 25.2, 23.54, 24.7]","[125.62, 125.44, 125.31, 125.56, 125.67]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.10639810562133789,0.07923331260681152,0.1856314182281494,0.86132,6.4919199999999995,24.628,125.52,1606812
5,"[0.1635146141052246, 0.10188531875610352, 0.1187901496887207, 0.10842418670654297, 0.10996055603027344]","[0.08353281021118164, 0.0731806755065918, 0.0892341136932373, 0.08414387702941895, 0.07340884208679199]","[0.24704742431640625, 0.1750659942626953, 0.208024263381958, 0.19256806373596191, 0.18336939811706543]","[1.5338, 0.9598, 1.0692, 0.9409, 1.1355]","[6.5422, 6.3941, 6.5093, 6.4444, 6.5782]","[19.49, 25.13, 21.52, 22.27, 24.23]","[125.67, 125.54, 125.69, 125.82, 125.69]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.12051496505737305,0.08070006370544433,0.20121502876281738,1.12784,6.49364,22.528,125.682,1606812
6,"[0.12661266326904297, 0.11110186576843262, 0.11599206924438477, 0.10232210159301758, 0.13202404975891113]","[0.0856928825378418, 0.0870826244354248, 0.07897758483886719, 0.07480025291442871, 0.08539700508117676]","[0.21230554580688477, 0.19818449020385742, 0.19496965408325195, 0.1771223545074463, 0.2174210548400879]","[1.2245, 0.9847, 1.0159, 1.2226, 1.4158]","[6.4799, 6.7555, 6.5493, 6.7635, 6.5269]","[22.24, 25.05, 23.52, 26.49, 21.61]","[125.95, 125.66, 125.66, 125.83, 126.12]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.11761054992675782,0.08239006996154785,0.20000061988830567,1.1726999999999999,6.6150199999999995,23.782,125.844,1606812
7,"[0.11482501029968262, 0.12948036193847656, 0.13479399681091309, 0.1169888973236084, 0.13692712783813477]","[0.07177066802978516, 0.06994080543518066, 0.0703120231628418, 0.07190060615539551, 0.07153677940368652]","[0.18659567832946777, 0.19942116737365723, 0.20510601997375488, 0.1888895034790039, 0.2084639072418213]","[1.1933, 1.3755, 1.4203, 1.275, 1.529]","[6.3888, 6.3814, 6.3624, 6.3421, 6.4453]","[22.9, 21.26, 21.59, 23.8, 22.74]","[126.33, 125.95, 125.99, 126.16, 126.26]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.1266030788421631,0.07109217643737793,0.19769525527954102,1.35862,6.384,22.458,126.138,1606812
8,"[0.1272139549255371, 0.13798809051513672, 0.1926279067993164, 0.14102721214294434, 0.19153785705566406]","[0.07223296165466309, 0.08320474624633789, 0.08591842651367188, 0.0902101993560791, 0.0847480297088623]","[0.1994469165802002, 0.2211928367614746, 0.2785463333129883, 0.23123741149902344, 0.27628588676452637]","[1.3757, 1.4756, 1.3602, 1.4259, 2.1386]","[6.4549, 6.2806, 6.3159, 7.0738, 6.5127]","[22.47, 23.73, 23.35, 22.54, 17.78]","[126.43, 126.37, 126.27, 126.12, 126.13]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.15807900428771973,0.08326287269592285,0.24134187698364257,1.5552,6.52758,21.974,126.264,1606812
9,"[0.12149691581726074, 0.13201522827148438, 0.17441487312316895, 0.1090857982635498, 0.13401246070861816]","[0.0737001895904541, 0.11572027206420898, 0.08052396774291992, 0.0710597038269043, 0.07063055038452148]","[0.19519710540771484, 0.24773550033569336, 0.25493884086608887, 0.1801455020904541, 0.20464301109313965]","[1.3295, 1.4103, 2.1346, 1.3095, 1.6205]","[6.4955, 9.7428, 6.337, 6.5715, 6.3688]","[24.59, 24.09, 20.17, 25.0, 22.67]","[126.49, 126.22, 126.25, 126.38, 126.33]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.13420505523681642,0.08232693672180176,0.21653199195861816,1.56088,7.1031200000000005,23.304000000000002,126.334,1606812
10,"[0.1356046199798584, 0.19579744338989258, 0.1873323917388916, 0.18352818489074707, 0.172135591506958]","[0.08462309837341309, 0.0844264030456543, 0.09153556823730469, 0.08613324165344238, 0.07366132736206055]","[0.22022771835327148, 0.2802238464355469, 0.2788679599761963, 0.26966142654418945, 0.24579691886901855]","[1.6254, 2.3642, 1.4268, 1.7983, 2.0962]","[6.2973, 6.3423, 6.8792, 6.3496, 6.3665]","[24.33, 18.7, 21.64, 21.58, 18.45]","[126.46, 126.24, 126.46, 126.83, 126.63]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.17487964630126954,0.084075927734375,0.2589555740356445,1.86218,6.44698,20.939999999999998,126.524,1606812
11,"[0.17747879028320312, 0.2411179542541504, 0.26247739791870117, 0.2055644989013672, 0.19964599609375]","[0.06172347068786621, 0.07490682601928711, 0.08187150955200195, 0.0760347843170166, 0.06403923034667969]","[0.23920226097106934, 0.3160247802734375, 0.3443489074707031, 0.2815992832183838, 0.2636852264404297]","[1.5297, 2.3221, 2.2714, 2.7035, 1.7266]","[5.3338, 5.2625, 5.5502, 5.3395, 5.5169]","[25.28, 19.38, 20.84, 19.98, 23.23]","[126.89, 126.69, 126.59, 126.59, 127.06]","[1606812, 1606812, 1606812, 1606812, 1606812]",5,[],0.21725692749023437,0.07171516418457032,0.2889720916748047,2.1106599999999998,5.40058,21.742,126.764,1606812
12,"[0.22935914993286133, 0.24430036544799805, 0.2366955280303955, 0.24135184288024902, 0.2420656681060791]","[0.05514645576477051, 0.0601496696472168, 0.05634737014770508, 0.05733203887939453, 0.04662322998046875]","[0.28450560569763184, 0.30445003509521484, 0.2930428981781006, 0.29868388175964355, 0.28868889808654785]","[3.2778, 3.4381, 3.4144, 3.3795, 3.5575]","[4.3396, 4.3747, 4.293, 4.4889, 4.284]","[17.38, 17.68, 17.92, 17.28, 17.66]","[127.12, 127.13, 126.76, 126.93, 126.8]","[803996, 803996, 803996, 803996, 803996]",5,[],0.2387545108795166,0.05511975288391113,0.29387426376342773,3.41346,4.35604,17.584,126.94800000000001,803996
13,"[0.25527477264404297, 0.23932290077209473, 0.25609660148620605, 0.25072669982910156, 0.24846124649047852]","[0.046781063079833984, 0.04687380790710449, 0.05657315254211426, 0.055564165115356445, 0.04900813102722168]","[0.30205583572387695, 0.2861967086791992, 0.3126697540283203, 0.306290864944458, 0.2974693775177002]","[3.6639, 2.8412, 2.8926, 3.6168, 3.5893]","[4.288, 4.288, 4.2271, 4.2972, 4.3288]","[17.19, 19.92, 19.19, 17.53, 17.39]","[127.21, 126.95, 127.01, 127.23, 127.2]","[803996, 803996, 803996, 803996, 803996]",5,[],0.24997644424438475,0.05096006393432617,0.3009365081787109,3.32076,4.28582,18.244,127.12,803996
14,"[0.2525618076324463, 0.25179171562194824, 0.2473440170288086, 0.26099514961242676, 0.23442602157592773]","[0.047327280044555664, 0.05051112174987793, 0.04702901840209961, 0.05794048309326172, 0.05502128601074219]","[0.29988908767700195, 0.30230283737182617, 0.2943730354309082, 0.3189356327056885, 0.2894473075866699]","[3.729, 3.7293, 3.5741, 3.7582, 3.326]","[4.3399, 4.3094, 4.2649, 4.3044, 4.3019]","[17.79, 17.78, 17.43, 17.78, 17.41]","[127.29, 127.16, 127.4, 127.59, 127.69]","[803996, 803996, 803996, 803996, 803996]",5,[],0.24942374229431152,0.05156583786010742,0.30098958015441896,3.62332,4.3041,17.638,127.426,803996
15,"[0.24981045722961426, 0.24783802032470703, 0.2348489761352539, 0.2529425621032715, 0.252697229385376]","[0.057811737060546875, 0.04581618309020996, 0.051503658294677734, 0.045583248138427734, 0.047673702239990234]","[0.30762219429016113, 0.293654203414917, 0.28635263442993164, 0.2985258102416992, 0.3003709316253662]","[3.6113, 3.673, 3.5677, 3.8357, 3.8544]","[4.2804, 4.1625, 4.491, 4.1775, 4.3488]","[17.61, 18.14, 18.25, 18.07, 18.2]","[127.7, 127.61, 127.66, 127.48, 127.47]","[803996, 803996, 803996, 803996, 803996]",5,[],0.24762744903564454,0.049677705764770506,0.29730515480041503,3.70842,4.29204,18.054,127.584,803996
16,"[0.24829506874084473, 0.25634098052978516, 0.25028014183044434, 0.2584092617034912, 0.24492263793945312]","[0.05595684051513672, 0.04408454895019531, 0.046883583068847656, 0.04743456840515137, 0.05506563186645508]","[0.30425190925598145, 0.30042552947998047, 0.297163724899292, 0.3058438301086426, 0.2999882698059082]","[3.9106, 3.9724, 3.93, 3.8531, 3.6481]","[4.1919, 4.1511, 4.2497, 4.1699, 4.1963]","[19.17, 18.66, 18.84, 18.02, 18.17]","[127.67, 127.54, 127.62, 127.49, 127.47]","[803996, 803996, 803996, 803996, 803996]",5,[],0.2516496181488037,0.04988503456115723,0.30153465270996094,3.86284,4.19178,18.572,127.558,803996
